,회사명,종목코드,상장일
464,셀바스AI,108860.KQ,2009-12-10
465,손오공,066910.KQ,2005-01-07
466,솔루에타,154040.KQ,2013-12-27
467,수성,084180.KQ,2005-12-16
468,슈프리마,236200.KQ,2016-02-05
469,스튜디오드래곤,253450.KQ,2017-11-24
470,신라에스지,025870.KQ,1995-07-07
471,신라젠,215600.KQ,2016-12-06
472,신영스팩5호,323280.KQ,2019-06-24
473,신한제6호스팩,333050.KQ,2019-10-31
474,아가방컴퍼니,013990.KQ,2002-01-17
475,아래스,050320.KQ,2002-01-15
476,아모텍,052710.KQ,2003-08-01
477,아미코젠,092040.KQ,2013-09-12
478,아이에이,038880.KQ,2000-04-27
479,아이에이네트웍스,123010.KQ,2016-07-20
480,아이톡시,052770.KQ,2002-08-22
481,액트로,290740.KQ,2018-08-28
482,에스모,073070.KQ,2004-01-28
483,에스에스알,275630.KQ,2018-08-06
484,에스제이그룹,306040.KQ,2019-11-18
485,에스제이케이,080440.KQ,2005-05-13
486,에스티팜,237690.KQ,2016-06-23
487,에이씨티,138360.KQ,2013-11-08
488,에프알텍,073540.KQ,2007-05-18
489,에프에스티,036810.KQ,2000-01-18
490,엔시트론,101400.KQ,2009-03-31
491,엔에이치스팩14호,319400.KQ,2019-05-08
492,영신금속,007530.KQ,1994-08-05
493,예림당,036000.KQ,1999-11-30
494,오르비텍,046120.KQ,2010-06-15
495,오성첨단소재,052420.KQ,2001-08-07
496,오션브릿지,241790.KQ,2016-12-01
497,우리손에프앤지,073560.KQ,2016-07-27
498,우수AMS,066590.KQ,2003-02-12
499,원일특강,012620.KQ,1994-06-28
500,윈하이텍,192390.KQ,2014-07-25
501,윌링스,313760.KQ,2019-07-25
502,유니테스트,086390.KQ,2006-12-05
503,유바이오로직스,206650.KQ,2017-01-24
504,유안타제6호스팩,340360.KQ,2019-12-19
505,육일씨엔에쓰,191410.KQ,2015-12-24
506,이글루시큐리티,067920.KQ,2010-08-04
507,이글벳,044960.KQ,2000-11-16
508,이녹스,088390.KQ,2006-10-20
509,이랜시스,264850.KQ,2017-06-01
510,이베스트스팩5호,349720.KQ,2020-05-20
511,이에스에이,052190.KQ,2001-06-21
512,이엠앤아이,083470.KQ,2008-09-18
513,이엠텍,091120.KQ,2007-05-02
514,이즈미디어,181340.KQ,2017-07-26
515,이지케어텍,099750.KQ,2019-03-22
516,인선이엔티,060150.KQ,2002-06-14
517,인포마크,175140.KQ,2015-09-23
518,인포바인,115310.KQ,2010-02-09
519,인포뱅크,039290.KQ,2006-07-04
520,잉크테크,049550.KQ,2002-02-28
521,전진바이오팜,110020.KQ,2018-12-14
522,정다운,208140.KQ,2014-12-17
523,제놀루션,225220.KQ,2020-07-24
524,제이스텍,090470.KQ,2007-01-10
525,제일바이오,052670.KQ,2002-01-24
526,젬백스지오,041590.KQ,2002-11-01
527,조이맥스,101730.KQ,2009-06-03
528,줌인터넷,239340.KQ,2016-06-09
529,지니뮤직,043610.KQ,2000-07-20
530,지니언스,263860.KQ,2017-08-02
531,지란지교시큐리티,208350.KQ,2014-12-24
532,지스마트글로벌,114570.KQ,2010-02-04
533,지티지웰니스,219750.KQ,2018-09-21
534,참좋은여행,094850.KQ,2007-04-30
535,천보,278280.KQ,2019-02-11
536,초록뱀,047820.KQ,2002-12-24
537,컴투스,078340.KQ,2007-07-06
538,케이비제19호스팩,330990.KQ,2019-09-30
539,케이씨피드,025880.KQ,1995-07-07
540,케이엔더블유,105330.KQ,2009-09-29
541,코너스톤네트웍스,033110.KQ,1997-08-18
542,코데즈컴바인,047770.KQ,2001-09-18
543,코메론,049430.KQ,2001-01-16
544,코미팜,041960.KQ,2001-10-30
545,코아시아,045970.KQ,2000-08-03
546,코오롱생명과학,102940.KQ,2009-04-07
547,코웰패션,033290.KQ,1997-10-13
548,코위버,056360.KQ,2001-12-04
549,큐브엔터,182360.KQ,2013-11-21
550,크로바하이텍,043590.KQ,2001-12-20
551,크리스탈지노믹스,083790.KQ,2006-01-06
552,클리오,237880.KQ,2016-11-09
553,키움제5호스팩,311270.KQ,2018-12-26
554,테고사이언스,191420.KQ,2014-11-06
555,테라사이언스,073640.KQ,2004-01-06
556,테라젠이텍스,066700.KQ,2004-05-27
557,테스나,131970.KQ,2013-10-22
558,티에스아이,277880.KQ,2020-07-22
559,파루,043200.KQ,2000-07-19
560,파멥신,208340.KQ,2018-11-21
561,파수,150900.KQ,2013-10-18
562,파워로직스,047310.KQ,2003-07-25
563,파인디지털,038950.KQ,2000-05-04
564,팬엔터테인먼트,068050.KQ,2006-07-07
565,펄어비스,263750.KQ,2017-09-14
566,펌텍코리아,251970.KQ,2019-07-04
